tweetid,sentiment
169760,2
35326,0
224985,0
476263,0
872928,0
75639,0
211536,0
569434,0
315368,1
591733,2
91983,2
67249,0
143459,0
663535,0
20476,-1
815297,1
274098,0
30045,-1
681487,0
708966,0
393689,-1
186705,-1
233977,-1
525794,0
863649,0
315964,0
588985,0
669979,-1
137059,1
556915,0
951973,-1
72939,0
205796,-1
478581,0
453375,0
555551,2
219030,-1
546209,1
416919,-1
433824,1
621526,0
616108,0
70943,0
153248,-1
854719,1
616444,0
118418,2
846132,2
443106,-1
758958,0
376412,0
667731,0
222107,0
349545,0
284026,0
564727,0
522979,0
460970,0
371750,-1
251299,1
485211,2
502976,0
623282,0
217605,0
225330,-1
58854,0
723671,1
366409,0
704565,2
655925,0
717618,0
922449,0
729885,-1
599133,-1
89885,0
249039,0
440750,0
18663,2
314549,0
643414,2
61835,-1
659073,0
178597,1
152298,0
581943,0
781913,1
336886,-1
624852,0
655116,0
5591,0
731620,2
872882,2
320393,-1
353463,2
816508,2
636325,1
53058,-1
725589,2
693559,2
66255,0
218797,0
307092,0
188557,2
137392,0
597086,-1
96006,-1
330509,0
78639,-1
536231,2
304814,2
553696,1
455898,0
745466,0
846719,0
722710,-1
989172,0
492079,0
315869,0
32675,-1
959684,0
641938,0
933443,0
458401,1
554994,0
461467,0
902353,1
178794,0
387356,-1
380276,0
824355,0
685606,1
85488,0
50608,0
447977,0
943930,0
183083,-1
359626,-1
810128,1
380913,0
516209,0
993538,1
594772,0
22428,1
991876,0
504172,1
283272,1
914599,-1
752129,2
701957,0
858489,0
221704,0
409406,1
468372,1
818509,2
204729,0
394896,0
397593,0
465474,1
450344,0
502719,-1
816499,0
291002,0
301225,0
402773,0
81233,0
642569,0
900041,-1
67900,0
237131,-1
311030,-1
975455,1
69232,-1
156024,0
268543,-1
586693,-1
709157,1
582003,-1
689136,0
953619,-1
971710,0
809619,0
595597,1
274499,0
771063,0
597739,1
110053,0
723442,1
881554,0
704923,2
822018,-1
505322,0
120776,2
404757,-1
811053,-1
317696,-1
734766,1
841196,0
400682,-1
649511,0
740566,-1
798359,-1
861578,-1
5417,0
609894,0
174874,-1
227482,0
316886,0
112798,2
44507,0
444423,-1
878768,0
951095,0
970445,0
208227,0
545402,1
498559,0
454769,-1
490905,0
343981,2
891649,0
794296,2
669149,0
104997,0
54711,1
756770,1
632633,0
882503,-1
604089,0
37591,2
304290,0
167356,0
398680,-1
268980,2
485450,0
246743,0
83632,0
804653,-1
614272,-1
699619,1
128361,0
617614,0
756863,1
550624,1
971913,0
597102,2
468901,1
512603,1
869,-1
135515,0
471002,-1
76054,0
835455,0
593722,-1
209903,0
311687,-1
38624,0
140169,1
50739,0
134179,0
368885,0
955073,2
642519,0
849811,0
377434,-1
61946,-1
128149,0
545779,0
145812,2
839220,0
23630,0
631635,0
659284,1
636800,0
246233,0
224961,0
227170,0
24500,0
444613,2
173797,2
183700,0
305251,-1
487336,0
521403,-1
741971,0
171732,0
354162,0
572875,0
337961,0
39327,-1
666488,1
686787,0
248289,0
644357,0
106812,0
492300,0
929522,0
827492,0
92888,0
748860,0
544547,0
970736,0
805808,2
320551,0
210944,0
109631,0
251292,2
170364,1
948426,2
780776,-1
693604,0
799998,0
373943,2
593149,2
264289,-1
479344,0
820909,0
492817,-1
831733,-1
405413,2
685176,0
982870,0
92655,0
929710,-1
365298,0
597644,0
908494,-1
532450,0
431470,1
261786,2
126953,0
157454,2
911863,0
968491,0
341684,2
868000,-1
937870,0
196243,2
749947,0
10201,0
861465,0
418775,2
561942,2
61831,0
224428,-1
470738,1
694377,0
557591,2
504856,0
988980,2
811937,-1
78955,0
166783,1
2520,1
268418,0
911873,0
380946,2
841067,0
760341,0
872864,0
833511,0
795400,2
947288,-1
97754,-1
848402,-1
77036,0
280663,0
654324,-1
105628,0
227665,0
169839,-1
334216,0
502105,1
174279,0
193681,2
457324,0
562231,0
254480,0
432635,1
916814,1
217862,0
454694,0
512554,1
249736,0
979904,0
841942,0
141852,0
279014,2
511552,0
502057,0
822243,0
586976,2
870627,-1
809260,0
258979,-1
342572,0
833715,0
63205,2
327,0
286773,0
831328,0
265516,2
988076,0
92963,0
813089,1
372840,0
460869,0
700900,0
54421,0
83811,0
932229,-1
14731,0
416245,-1
91717,2
37782,1
168950,-1
791767,-1
612474,1
863569,1
833620,0
831050,-1
327186,-1
70954,0
744906,0
410805,2
321290,2
560166,-1
199999,0
520958,0
486093,0
433768,2
170942,0
97769,-1
