tweetid,sentiment
169760,0
35326,1
224985,1
476263,1
872928,0
75639,0
211536,1
569434,2
315368,2
591733,-1
91983,0
67249,1
143459,2
663535,1
20476,1
815297,-1
274098,1
30045,2
681487,0
708966,2
393689,1
186705,0
233977,2
525794,1
863649,1
315964,2
588985,0
669979,1
137059,1
556915,2
951973,1
72939,-1
205796,0
478581,1
453375,2
555551,1
219030,1
546209,1
416919,2
433824,1
621526,2
616108,0
70943,0
153248,2
854719,2
616444,1
118418,2
846132,0
443106,0
758958,0
376412,1
667731,2
222107,1
349545,1
284026,2
564727,-1
522979,2
460970,1
371750,-1
251299,1
485211,0
502976,1
623282,0
217605,1
225330,1
58854,2
723671,1
366409,0
704565,1
655925,0
717618,1
922449,0
729885,1
599133,1
89885,2
249039,2
440750,1
18663,-1
314549,1
643414,1
61835,2
659073,0
178597,1
152298,-1
581943,1
781913,1
336886,2
624852,1
655116,2
5591,1
731620,0
872882,1
320393,2
353463,2
816508,1
636325,1
53058,1
725589,1
693559,0
66255,1
218797,2
307092,1
188557,1
137392,2
597086,1
96006,0
330509,1
78639,-1
536231,0
304814,1
553696,1
455898,1
745466,1
846719,1
722710,0
989172,2
492079,1
315869,1
32675,1
959684,2
641938,1
933443,1
458401,1
554994,1
461467,1
902353,0
178794,2
387356,1
380276,1
824355,1
685606,1
85488,0
50608,1
447977,0
943930,0
183083,1
359626,2
810128,1
380913,1
516209,1
993538,0
594772,1
22428,2
991876,2
504172,0
283272,0
914599,1
752129,2
701957,1
858489,2
221704,1
409406,1
468372,1
818509,1
204729,2
394896,1
397593,2
465474,1
450344,2
502719,1
816499,2
291002,1
301225,2
402773,1
81233,0
642569,1
900041,0
67900,0
237131,2
311030,1
975455,1
69232,1
156024,1
268543,1
586693,1
709157,1
582003,1
689136,0
953619,2
971710,0
809619,0
595597,0
274499,0
771063,1
597739,0
110053,2
723442,1
881554,0
704923,0
822018,0
505322,0
120776,1
404757,1
811053,0
317696,1
734766,2
841196,0
400682,1
649511,0
740566,1
798359,1
861578,1
5417,0
609894,1
174874,1
227482,1
316886,0
112798,0
44507,0
444423,1
878768,1
951095,1
970445,1
208227,1
545402,1
498559,2
454769,1
490905,1
343981,1
891649,2
794296,1
669149,1
104997,2
54711,1
756770,1
632633,0
882503,1
604089,1
37591,1
304290,1
167356,1
398680,1
268980,1
485450,0
246743,2
83632,1
804653,0
614272,1
699619,0
128361,2
617614,1
756863,2
550624,1
971913,1
597102,1
468901,1
512603,0
869,0
135515,1
471002,1
76054,1
835455,0
593722,2
209903,2
311687,2
38624,1
140169,1
50739,0
134179,0
368885,1
955073,2
642519,1
849811,1
377434,1
61946,1
128149,-1
545779,1
145812,2
839220,2
23630,1
631635,1
659284,-1
636800,1
246233,2
224961,0
227170,1
24500,1
444613,0
173797,1
183700,1
305251,1
487336,1
521403,0
741971,1
171732,0
354162,2
572875,1
337961,1
39327,2
666488,1
686787,0
248289,1
644357,2
106812,2
492300,1
929522,1
827492,1
92888,0
748860,1
544547,1
970736,1
805808,1
320551,2
210944,1
109631,1
251292,0
170364,0
948426,1
780776,1
693604,1
799998,1
373943,1
593149,1
264289,2
479344,0
820909,1
492817,0
831733,1
405413,0
685176,1
982870,1
92655,0
929710,1
365298,0
597644,0
908494,1
532450,1
431470,1
261786,1
126953,1
157454,1
911863,1
968491,2
341684,2
868000,-1
937870,1
196243,1
749947,-1
10201,2
861465,2
418775,1
561942,1
61831,0
224428,1
470738,1
694377,0
557591,1
504856,1
988980,1
811937,-1
78955,2
166783,2
2520,1
268418,1
911873,0
380946,0
841067,1
760341,1
872864,2
833511,1
795400,2
947288,1
97754,1
848402,0
77036,2
280663,1
654324,0
105628,1
227665,0
169839,2
334216,1
502105,2
174279,1
193681,1
457324,1
562231,0
254480,1
432635,1
916814,-1
217862,2
454694,1
512554,1
249736,1
979904,1
841942,0
141852,0
279014,1
511552,1
502057,2
822243,1
586976,0
870627,1
809260,1
258979,1
342572,1
833715,1
63205,0
327,2
286773,0
831328,1
265516,0
988076,1
92963,0
813089,1
372840,1
460869,1
700900,2
54421,1
83811,1
932229,2
14731,1
416245,0
91717,1
37782,2
168950,0
791767,1
612474,1
863569,1
833620,0
831050,1
327186,0
70954,0
744906,1
410805,1
321290,0
560166,1
199999,1
520958,1
486093,1
433768,-1
170942,1
97769,1
574580,0
427983,1
536786,0
64572,1
932658,0
875904,1
388184,2
448406,0
280094,1
196585,-1
297123,1
583405,1
749358,1
8540,-1
92130,1
682459,0
493774,1
81514,1
937131,1
683822,0
181932,1
185061,1
718905,1
467768,2
50360,1
37282,2
324725,1
587613,1
759085,1
995304,-1
62430,1
959472,1
134816,1
443799,2
84144,1
626595,1
382192,2
249680,1
209100,0
505060,-1
510212,1
454150,2
900706,1
355447,-1
415557,1
431394,1
796461,0
551013,1
71926,2
260753,0
883406,1
973790,2
673020,2
573493,0
850799,1
596499,0
430720,1
970612,2
645141,1
122672,1
572212,1
590281,2
185082,2
643999,1
276142,2
522428,2
242869,1
859835,1
179238,0
830861,1
659715,1
742214,2
44768,2
156753,1
689726,1
659825,0
805236,-1
484743,1
843791,1
401342,1
268165,1
450971,1
969588,1
493909,2
775367,1
102955,-1
356595,0
860992,2
478186,0
235851,1
859554,1
383555,1
568803,1
522415,0
493050,0
568528,1
371027,0
554560,0
969599,0
70097,1
898167,2
483103,2
773089,1
436540,1
214657,1
824653,2
132616,1
962166,2
357327,1
183595,0
338190,1
821753,1
782634,1
355771,1
102889,1
335544,1
417438,1
99418,0
774033,0
151834,1
573075,0
675187,0
488287,1
317596,1
848773,1
177318,1
743728,1
166017,2
668192,1
242646,2
572824,0
516374,0
569974,0
368987,0
35989,1
439267,1
425036,1
978741,1
161511,-1
158819,2
225262,1
398562,1
940439,0
657384,0
348631,0
950221,1
390207,1
633050,0
45603,1
892219,0
763551,0
219247,0
78219,1
106376,0
664990,1
61204,-1
444521,1
162744,0
10394,1
107336,1
400960,0
157258,0
762553,1
398197,1
513701,1
450710,0
192494,0
376697,2
466375,2
600809,0
337306,1
597597,1
282282,2
619747,0
848426,1
468720,2
954154,2
544640,2
192358,1
768797,-1
817583,2
864589,0
104220,1
725297,1
973859,1
942269,0
145192,1
965827,1
861437,1
296887,1
817495,1
273994,-1
799474,1
177872,1
532392,2
770417,1
706812,1
193396,2
863034,0
967152,1
948038,0
608126,1
412897,1
970466,2
604868,0
94532,0
820173,0
833762,0
604371,0
961064,-1
419528,1
79982,0
564369,0
489017,0
887262,1
402712,0
963864,0
854765,1
331759,1
26332,1
238943,2
431614,2
329434,1
680680,1
39578,1
670432,1
371166,2
686203,1
118985,2
263823,2
275604,1
390449,0
553573,-1
159171,1
172630,0
867879,2
555667,1
107607,1
671813,1
29467,2
424298,1
247885,1
66440,1
794065,0
383354,1
73974,0
597362,1
873587,0
755011,1
736998,1
117248,1
692018,1
813376,1
834684,-1
546314,1
876985,1
207998,1
110340,1
